crop,soil_type,ndvi,moisture,nitrogen_applied,phosphorus_applied,potassium_applied,area_ha,yield_tons_ha
Wheat,Sandy Loam,0.8,50.0,107,58,59,24.5,8.94
Cotton,Silt Loam,0.72,29.8,91,51,100,6.9,5.38
Wheat,Silt Loam,0.8,50.3,135,66,71,11.8,9.32
Cotton,Clay Loam,0.49,32.8,103,62,108,22.7,5.0
Maize,Clay Loam,0.54,25.6,187,52,88,3.5,7.85
Wheat,Clay Loam,0.71,15.6,139,50,72,5.5,8.44
Wheat,Silt Loam,0.67,49.8,111,68,70,19.8,8.74
Maize,Silt Loam,0.65,46.8,138,83,66,2.8,8.95
Cotton,Clay Loam,0.49,38.2,111,48,119,3.3,5.16
Cotton,Silt Loam,0.4,32.5,123,54,112,2.5,4.67
Maize,Silt Loam,0.79,51.4,135,67,77,4.4,9.08
Alfalfa,Silt Loam,0.8,29.1,27,83,103,6.8,6.18
Maize,Clay Loam,0.72,52.6,193,75,74,4.1,9.47
Wheat,Clay Loam,0.54,41.8,159,46,72,11.9,8.35
Maize,Silt Loam,0.6,51.9,145,84,74,13.1,8.9
Maize,Clay Loam,0.57,41.2,130,75,86,5.7,7.82
Maize,Clay Loam,0.57,18.5,128,62,66,9.1,7.53
Maize,Silt Loam,0.76,37.2,199,65,103,2.1,9.23
Maize,Silt Loam,0.74,51.0,138,51,62,19.5,9.0
Maize,Clay Loam,0.82,32.4,155,72,61,24.7,9.33
Maize,Sandy Loam,0.41,50.8,141,83,79,17.9,7.89
Maize,Sandy Loam,0.79,28.7,182,70,99,21.7,8.74
Maize,Sandy Loam,0.46,31.3,152,52,99,2.6,7.86
Alfalfa,Silt Loam,0.53,50.2,38,97,107,16.8,5.67
Cotton,Silt Loam,0.76,19.9,93,48,113,10.6,5.19
Alfalfa,Silt Loam,0.81,47.4,25,88,133,18.0,6.55
Wheat,Silt Loam,0.55,37.1,144,56,84,19.9,7.78
Alfalfa,Silt Loam,0.73,43.9,42,73,94,10.7,5.75
Maize,Sandy Loam,0.38,39.3,137,53,92,13.0,7.25
Cotton,Silt Loam,0.45,39.7,93,54,90,5.0,4.94
Cotton,Silt Loam,0.72,40.8,93,44,116,12.9,5.69
Alfalfa,Silt Loam,0.65,54.3,40,73,126,23.8,6.41
Maize,Sandy Loam,0.42,15.2,171,50,98,24.3,6.85
Alfalfa,Silt Loam,0.38,18.8,40,67,95,17.1,4.58
Cotton,Sandy Loam,0.38,22.5,124,46,118,11.4,4.84
Alfalfa,Silt Loam,0.8,34.5,29,71,106,11.0,6.29
Wheat,Silt Loam,0.68,21.6,113,57,75,24.8,7.95
Maize,Sandy Loam,0.77,24.4,186,74,101,5.9,8.99
Cotton,Clay Loam,0.49,27.2,108,54,95,17.4,5.11
Cotton,Clay Loam,0.52,33.4,123,52,117,8.6,5.11
Cotton,Silt Loam,0.66,35.0,129,58,110,10.8,5.42
Wheat,Sandy Loam,0.44,37.3,118,53,63,21.4,7.0
Maize,Clay Loam,0.84,48.2,184,53,66,15.7,10.04
Wheat,Sandy Loam,0.66,27.2,126,44,74,16.2,7.9
Wheat,Sandy Loam,0.63,52.7,138,53,77,16.8,8.65
Maize,Silt Loam,0.8,21.9,181,79,74,23.2,8.75
Alfalfa,Clay Loam,0.69,48.4,46,74,118,6.2,5.97
Alfalfa,Clay Loam,0.58,37.2,26,67,93,4.8,5.26
Cotton,Silt Loam,0.67,53.0,125,49,93,3.1,6.14
Alfalfa,Clay Loam,0.61,17.1,27,66,132,18.4,4.73
Alfalfa,Sandy Loam,0.54,31.1,27,81,116,16.0,5.39
Maize,Clay Loam,0.69,43.5,129,80,72,24.7,8.85
Alfalfa,Sandy Loam,0.63,30.0,32,89,123,5.2,5.85
Alfalfa,Sandy Loam,0.56,45.5,26,94,128,23.9,5.8
Cotton,Silt Loam,0.71,19.9,95,42,107,18.0,4.9
Maize,Clay Loam,0.43,23.2,129,55,75,24.8,6.46
Wheat,Clay Loam,0.56,22.9,111,55,51,23.9,7.67
Cotton,Sandy Loam,0.37,54.0,133,44,95,22.0,5.3
Alfalfa,Silt Loam,0.46,40.9,49,73,133,2.6,5.67
Wheat,Silt Loam,0.66,43.8,159,49,87,5.3,8.59
Maize,Silt Loam,0.79,27.5,122,79,68,3.0,8.22
Cotton,Clay Loam,0.79,16.3,126,55,82,19.3,5.0
Alfalfa,Clay Loam,0.85,16.8,33,75,95,7.4,5.75
Cotton,Sandy Loam,0.55,31.7,96,56,111,24.2,5.4
Cotton,Clay Loam,0.74,40.4,116,61,108,7.5,5.87
Alfalfa,Silt Loam,0.6,44.0,36,70,99,3.9,5.68
Wheat,Clay Loam,0.7,31.0,133,46,56,11.5,8.57
Alfalfa,Sandy Loam,0.82,21.5,33,80,138,2.3,6.24
Alfalfa,Clay Loam,0.52,30.3,29,97,117,24.4,5.48
Maize,Silt Loam,0.36,24.0,177,70,90,23.7,7.37
Wheat,Clay Loam,0.6,17.5,139,55,79,8.3,7.82
Maize,Clay Loam,0.54,20.4,150,84,104,11.9,7.16
Cotton,Sandy Loam,0.83,31.3,116,41,89,5.7,5.95
Cotton,Silt Loam,0.72,50.9,112,41,86,9.4,5.82
Wheat,Clay Loam,0.7,28.6,132,64,86,10.7,8.31
Alfalfa,Clay Loam,0.71,43.3,37,96,138,14.3,6.17
Wheat,Sandy Loam,0.64,15.5,103,57,50,22.7,7.26
Wheat,Silt Loam,0.78,51.1,106,49,57,22.5,9.13
Cotton,Clay Loam,0.65,46.4,91,51,106,19.7,5.43
Maize,Clay Loam,0.47,33.4,136,57,62,13.0,7.52
Alfalfa,Sandy Loam,0.78,25.5,33,70,135,6.0,5.85
Maize,Sandy Loam,0.49,51.2,136,61,87,6.2,7.55
Maize,Silt Loam,0.79,20.0,138,66,98,13.4,8.72
Cotton,Clay Loam,0.39,28.1,132,49,86,12.2,4.16
Wheat,Silt Loam,0.44,23.8,159,64,57,10.0,7.21
Maize,Silt Loam,0.81,35.9,185,58,65,6.4,9.2
Alfalfa,Sandy Loam,0.57,30.7,31,82,122,15.0,5.41
Cotton,Sandy Loam,0.69,39.7,131,64,80,13.6,5.42
Wheat,Clay Loam,0.55,31.0,122,40,51,11.3,7.76
Alfalfa,Clay Loam,0.62,47.0,36,91,100,18.8,6.03
Alfalfa,Clay Loam,0.41,40.8,22,91,123,24.9,5.38
Cotton,Silt Loam,0.75,32.3,90,47,100,14.9,5.32
Maize,Clay Loam,0.8,51.6,122,56,95,11.6,8.79
Cotton,Silt Loam,0.82,49.9,96,49,81,12.9,6.44
Cotton,Sandy Loam,0.48,55.0,96,64,95,15.6,5.87
Wheat,Clay Loam,0.82,31.4,146,59,84,2.6,9.27
Cotton,Silt Loam,0.72,44.6,136,50,106,16.0,5.77
Maize,Sandy Loam,0.79,17.0,128,59,71,13.8,8.2
Cotton,Sandy Loam,0.4,22.7,134,62,89,25.0,4.25
Alfalfa,Sandy Loam,0.42,44.5,27,67,127,21.7,4.74
Wheat,Silt Loam,0.68,54.1,101,54,83,23.9,8.04
Alfalfa,Sandy Loam,0.71,18.3,24,77,93,15.6,5.38
Wheat,Sandy Loam,0.58,46.0,125,49,67,6.4,8.03
Cotton,Clay Loam,0.39,24.6,103,50,110,22.4,4.42
Cotton,Sandy Loam,0.64,45.1,97,58,84,19.3,5.47
Wheat,Silt Loam,0.64,21.2,110,50,72,6.7,7.61
Alfalfa,Clay Loam,0.68,35.2,20,72,100,7.8,6.07
Alfalfa,Silt Loam,0.38,18.1,41,83,129,2.5,4.31
Wheat,Clay Loam,0.65,26.6,140,59,57,20.3,8.56
Maize,Silt Loam,0.61,39.1,124,75,75,12.4,7.88
Wheat,Silt Loam,0.71,40.4,142,66,61,25.0,9.13
Alfalfa,Sandy Loam,0.42,31.2,21,73,102,7.2,4.44
Cotton,Clay Loam,0.79,29.9,132,55,119,15.2,6.25
Cotton,Silt Loam,0.55,54.6,111,62,103,16.1,5.61
Alfalfa,Silt Loam,0.7,29.9,48,88,112,20.9,5.8
Maize,Clay Loam,0.65,24.6,197,83,78,15.1,8.59
Maize,Sandy Loam,0.68,20.4,159,58,65,8.7,8.24
Wheat,Sandy Loam,0.77,25.4,116,55,87,16.2,8.41
Maize,Sandy Loam,0.58,31.4,146,53,108,21.2,7.99
Maize,Sandy Loam,0.45,40.9,182,79,77,17.8,7.87
Maize,Silt Loam,0.5,41.7,155,67,73,14.4,8.52
Maize,Clay Loam,0.51,19.9,196,69,104,12.7,7.6
Cotton,Silt Loam,0.58,35.0,139,60,85,17.2,5.36
Wheat,Sandy Loam,0.41,17.1,143,46,80,19.7,7.09
Wheat,Clay Loam,0.6,32.5,134,44,66,11.0,8.45
Alfalfa,Clay Loam,0.56,29.9,40,90,97,14.3,5.68
Cotton,Sandy Loam,0.8,43.4,122,52,83,24.3,5.52
Maize,Clay Loam,0.84,31.7,131,84,80,6.9,8.53
Wheat,Sandy Loam,0.52,42.0,109,57,72,8.8,7.44
Cotton,Sandy Loam,0.73,29.6,121,62,93,22.2,5.0
Wheat,Clay Loam,0.71,35.8,146,50,78,11.0,8.63
Wheat,Sandy Loam,0.49,15.7,151,69,66,14.7,7.56
Cotton,Silt Loam,0.66,19.6,114,45,97,13.8,5.28
Alfalfa,Clay Loam,0.45,49.5,35,87,114,9.9,5.7
Wheat,Sandy Loam,0.6,24.5,101,67,58,14.8,7.55
Cotton,Silt Loam,0.45,54.8,120,44,98,22.6,5.41
Alfalfa,Silt Loam,0.78,25.0,24,89,90,10.3,6.08
Wheat,Clay Loam,0.58,41.9,152,69,79,8.0,8.23
Cotton,Clay Loam,0.47,49.2,100,44,93,18.6,5.31
Alfalfa,Silt Loam,0.43,50.5,37,92,126,24.8,5.31
Cotton,Silt Loam,0.37,21.3,108,45,106,3.6,3.96
Wheat,Clay Loam,0.35,48.7,141,49,60,24.0,7.71
Maize,Silt Loam,0.8,51.5,127,50,64,19.7,8.86
Wheat,Clay Loam,0.66,22.2,155,41,85,6.9,7.54
Alfalfa,Sandy Loam,0.6,17.5,22,93,107,23.8,5.47
Alfalfa,Silt Loam,0.76,27.5,37,94,102,8.2,6.0
Alfalfa,Sandy Loam,0.37,47.0,31,98,101,21.1,5.44
Wheat,Silt Loam,0.46,19.3,108,43,72,5.0,6.77
Cotton,Sandy Loam,0.55,28.5,121,63,101,6.4,4.76
Alfalfa,Clay Loam,0.53,18.4,21,95,118,21.4,5.15
Cotton,Silt Loam,0.44,22.0,114,50,102,16.4,4.5
Alfalfa,Clay Loam,0.55,47.8,24,74,112,23.0,5.85
Wheat,Silt Loam,0.72,46.9,153,65,66,7.7,8.86
Cotton,Sandy Loam,0.49,54.7,137,42,83,9.7,5.18
Wheat,Clay Loam,0.43,34.3,115,46,68,12.7,7.2
Maize,Clay Loam,0.75,38.8,164,60,72,13.8,9.36
Alfalfa,Clay Loam,0.7,18.2,39,80,99,3.0,5.46
Wheat,Clay Loam,0.81,29.5,102,46,57,9.1,8.3
Alfalfa,Clay Loam,0.73,49.7,32,63,101,2.5,6.11
Maize,Silt Loam,0.5,45.3,197,53,97,17.4,7.98
Cotton,Clay Loam,0.82,38.0,116,62,112,19.5,6.04
Cotton,Silt Loam,0.44,44.2,102,62,111,6.2,5.21
Alfalfa,Sandy Loam,0.61,45.9,38,75,97,16.7,5.67
Alfalfa,Sandy Loam,0.38,23.1,42,99,100,20.3,4.53
Alfalfa,Sandy Loam,0.65,24.7,42,77,103,9.5,5.3
Cotton,Sandy Loam,0.6,16.1,129,46,101,5.4,4.99
Cotton,Sandy Loam,0.71,30.4,91,58,95,3.7,5.56
Maize,Sandy Loam,0.49,17.5,141,60,63,21.7,6.91
Alfalfa,Clay Loam,0.72,46.5,36,79,120,24.9,5.99
Alfalfa,Sandy Loam,0.51,19.6,35,96,129,23.8,5.59
Cotton,Clay Loam,0.56,38.8,91,61,98,11.7,5.54
Maize,Silt Loam,0.45,23.7,144,71,105,17.4,6.91
Wheat,Clay Loam,0.47,46.8,139,41,63,3.9,8.27
Cotton,Sandy Loam,0.82,17.8,103,62,114,16.1,5.01
Alfalfa,Sandy Loam,0.65,52.9,37,94,112,6.4,6.04
Maize,Sandy Loam,0.79,45.7,149,67,66,15.2,9.2
Alfalfa,Silt Loam,0.77,35.0,49,74,124,18.1,5.29
Maize,Sandy Loam,0.8,30.7,198,76,108,14.9,9.03
Alfalfa,Clay Loam,0.51,17.0,29,92,114,21.1,4.96
Wheat,Clay Loam,0.74,27.9,116,40,61,20.5,8.28
Alfalfa,Sandy Loam,0.65,52.0,20,78,123,7.3,5.77
Alfalfa,Clay Loam,0.84,49.5,47,70,111,2.4,6.63
Wheat,Silt Loam,0.47,27.0,129,58,82,16.1,8.27
Wheat,Sandy Loam,0.58,23.3,121,54,78,16.0,8.08
Wheat,Silt Loam,0.42,30.4,102,41,57,5.0,6.82
Maize,Sandy Loam,0.68,51.5,121,81,85,24.4,8.47
Alfalfa,Clay Loam,0.62,20.8,24,82,96,21.0,5.67
Maize,Clay Loam,0.54,47.2,169,82,86,14.3,8.93
Maize,Silt Loam,0.61,36.2,190,84,84,22.7,8.66
Cotton,Silt Loam,0.45,23.8,128,58,86,3.1,4.73
Maize,Silt Loam,0.49,22.3,139,76,67,15.4,7.28
Maize,Silt Loam,0.68,32.0,141,68,68,7.2,8.59
Cotton,Clay Loam,0.51,48.1,108,50,99,19.7,5.19
Maize,Sandy Loam,0.82,46.2,180,56,67,15.9,9.48
Wheat,Silt Loam,0.41,15.1,127,67,80,23.1,7.29
Cotton,Clay Loam,0.48,49.5,126,57,105,13.7,5.57
Maize,Clay Loam,0.81,40.1,148,54,82,22.2,9.63
Alfalfa,Clay Loam,0.85,46.5,40,78,110,8.3,6.42
Cotton,Silt Loam,0.36,24.2,138,57,80,22.8,4.32
Alfalfa,Clay Loam,0.48,31.8,47,80,112,21.2,5.04
Alfalfa,Sandy Loam,0.81,28.0,46,83,104,5.6,5.87
Wheat,Sandy Loam,0.66,34.3,127,46,66,24.8,8.59
Cotton,Sandy Loam,0.52,35.1,92,58,94,10.8,4.85
Alfalfa,Sandy Loam,0.65,35.0,25,78,134,10.8,5.78
Wheat,Silt Loam,0.41,45.4,136,66,68,15.7,7.63
Alfalfa,Sandy Loam,0.52,45.3,26,92,98,2.8,6.07
Maize,Sandy Loam,0.81,51.9,150,57,82,5.4,9.45
Maize,Sandy Loam,0.35,52.6,172,55,76,21.1,8.11
Maize,Clay Loam,0.81,49.3,125,55,104,12.6,9.12
Wheat,Sandy Loam,0.74,20.3,157,53,75,21.5,7.98
Maize,Sandy Loam,0.35,30.0,184,67,82,4.6,7.73
Cotton,Sandy Loam,0.5,47.9,133,43,104,15.0,5.83
Alfalfa,Sandy Loam,0.44,41.0,30,62,111,21.5,4.86
Cotton,Sandy Loam,0.79,48.0,105,59,98,4.0,6.09
Wheat,Clay Loam,0.73,23.4,139,47,79,23.9,8.61
Cotton,Clay Loam,0.7,31.7,117,53,115,7.1,5.58
Cotton,Sandy Loam,0.66,23.3,135,62,118,20.3,5.08
Alfalfa,Sandy Loam,0.65,36.9,25,83,122,23.3,5.35
Wheat,Sandy Loam,0.38,15.3,152,52,57,23.0,7.07
Maize,Sandy Loam,0.54,27.3,142,68,99,16.2,7.91
Cotton,Sandy Loam,0.69,23.7,135,43,90,17.6,5.16
Wheat,Sandy Loam,0.74,33.3,141,55,87,9.4,8.62
Wheat,Sandy Loam,0.58,50.3,107,66,86,22.8,8.16
Wheat,Clay Loam,0.36,48.8,123,69,53,23.4,7.48
Maize,Clay Loam,0.75,38.4,129,59,67,15.9,8.62
Cotton,Sandy Loam,0.51,28.6,101,60,95,19.3,5.13
Maize,Sandy Loam,0.38,38.8,173,56,88,18.6,7.54
Maize,Sandy Loam,0.83,19.2,152,65,109,2.9,9.27
Maize,Silt Loam,0.44,23.2,156,58,89,7.8,6.9
Maize,Sandy Loam,0.55,27.5,176,68,70,23.0,7.94
Maize,Silt Loam,0.61,48.6,150,73,84,5.4,8.37
Maize,Clay Loam,0.5,29.2,153,70,97,18.3,7.82
Alfalfa,Clay Loam,0.58,40.1,24,70,108,18.3,5.85
Alfalfa,Silt Loam,0.37,51.3,33,92,131,23.1,5.57
Alfalfa,Sandy Loam,0.83,24.9,39,86,101,7.7,5.85
Wheat,Silt Loam,0.42,16.8,109,58,68,14.5,6.94
Cotton,Silt Loam,0.57,26.7,121,59,83,15.5,4.62
Maize,Silt Loam,0.65,52.7,155,51,81,16.0,9.33
Maize,Clay Loam,0.58,54.2,154,58,106,5.2,9.35
Alfalfa,Sandy Loam,0.73,17.8,28,66,96,13.1,5.34
Maize,Silt Loam,0.6,42.3,174,76,84,4.0,8.82
Cotton,Sandy Loam,0.78,27.6,98,41,94,24.2,5.47
Alfalfa,Clay Loam,0.42,48.2,24,65,107,16.8,5.13
Wheat,Clay Loam,0.51,25.3,149,67,59,16.0,7.79
Wheat,Sandy Loam,0.54,16.2,122,42,60,23.4,7.82
Wheat,Clay Loam,0.57,35.1,112,64,61,19.4,7.61
Wheat,Sandy Loam,0.63,50.0,125,68,78,21.1,8.55
Alfalfa,Sandy Loam,0.39,16.6,38,88,123,9.6,4.4
Wheat,Silt Loam,0.76,20.5,148,48,68,13.2,8.44
Alfalfa,Silt Loam,0.64,35.9,45,87,137,17.5,5.45
Alfalfa,Sandy Loam,0.65,26.5,23,60,115,21.5,5.05
Wheat,Silt Loam,0.47,37.9,111,65,80,12.8,7.17
Alfalfa,Clay Loam,0.61,35.4,20,63,125,9.3,5.48
Maize,Silt Loam,0.8,17.2,164,74,62,15.0,8.71
Alfalfa,Silt Loam,0.51,31.3,49,72,137,22.8,5.1
Wheat,Clay Loam,0.5,36.7,107,47,56,23.9,7.42
Alfalfa,Clay Loam,0.61,15.1,32,63,119,16.2,4.66
Alfalfa,Sandy Loam,0.6,53.0,23,91,111,13.6,6.34
Cotton,Sandy Loam,0.58,16.5,103,61,116,8.0,5.23
Alfalfa,Silt Loam,0.67,54.3,48,82,99,9.2,6.4
Wheat,Clay Loam,0.76,15.8,100,40,86,14.5,7.56
Maize,Silt Loam,0.81,48.7,193,52,61,15.5,9.71
Maize,Clay Loam,0.82,47.9,177,52,107,16.7,9.75
Maize,Clay Loam,0.85,29.7,155,57,69,12.4,9.13
Alfalfa,Silt Loam,0.43,45.2,48,94,91,17.8,5.33
Cotton,Silt Loam,0.44,42.2,124,64,101,13.3,4.98
Cotton,Silt Loam,0.65,36.0,104,57,117,22.5,5.3
Cotton,Clay Loam,0.52,46.6,106,43,93,4.3,5.41
Maize,Sandy Loam,0.53,20.6,193,69,94,17.9,8.21
Cotton,Sandy Loam,0.83,26.3,121,56,98,15.5,5.67
Cotton,Silt Loam,0.52,28.2,99,60,100,17.8,5.03
Maize,Silt Loam,0.81,41.2,182,61,100,16.4,9.87
Alfalfa,Sandy Loam,0.62,24.0,20,94,102,8.0,5.68
Cotton,Clay Loam,0.81,28.4,133,59,111,19.5,5.73
Wheat,Sandy Loam,0.44,18.6,116,58,87,22.3,7.24
Wheat,Sandy Loam,0.38,38.8,158,44,53,2.3,7.75
Wheat,Silt Loam,0.82,25.0,115,53,50,9.2,8.48
Cotton,Sandy Loam,0.39,21.9,90,53,117,2.6,4.79
Maize,Silt Loam,0.79,37.0,135,63,84,23.8,8.51
Cotton,Silt Loam,0.44,33.3,134,49,86,13.7,5.09
Wheat,Clay Loam,0.71,37.3,105,59,81,7.1,8.79
Alfalfa,Silt Loam,0.52,30.7,39,91,111,12.7,5.22
Cotton,Clay Loam,0.81,41.6,114,61,95,13.7,5.88
Wheat,Silt Loam,0.39,40.6,146,62,54,20.8,7.38
Maize,Silt Loam,0.61,30.6,157,54,105,15.6,8.44
Cotton,Sandy Loam,0.7,52.8,101,46,115,9.3,6.78
Wheat,Sandy Loam,0.55,51.0,145,49,56,24.3,8.95
Cotton,Silt Loam,0.83,42.7,131,53,85,7.8,5.88
Cotton,Sandy Loam,0.4,51.0,94,44,116,8.6,5.37
Wheat,Silt Loam,0.35,15.4,151,47,83,9.6,6.77
Wheat,Clay Loam,0.65,40.9,127,43,86,14.0,8.58
Alfalfa,Clay Loam,0.78,30.0,43,95,94,18.3,6.04
Wheat,Silt Loam,0.63,52.9,139,52,86,3.7,8.64
Wheat,Sandy Loam,0.71,21.4,134,56,87,13.0,8.4
